,0,1,2,3,4
0,africa,african,south,continent,africans
1,summary,1600,concluding,concludes,judgement
2,turn,turning,turned,come,instead
3,mean,means,necessarily,actually,nothing
4,growth,slowing,increase,increases,rise
5,notes,note,explaining,instance,spoolname
6,agency,agencies,according,official,saying
7,king,prince,queen,monarch,kingdom
8,monday,tuesday,thursday,wednesday,friday
9,european,europe,eu,europeans,union
10,activity,activities,suggesting,active,continuing
11,copy,copied,print,printed,document
12,although,though,however,but,fact
13,drug,drugs,cocaine,traffickers,trafficking
14,pics,mo94,ooooooooooooooooooooooooooooooooooooooo,gldstarr,js03
15,western,eastern,southern,west,northern
16,income,incomes,taxes,tax,revenue
17,force,forces,military,command,contingent
18,cash,money,payment,funds,payments
19,employment,jobs,job,employers,labor
20,overall,third,fourth,combined,improved
21,bay,tampa,chesapeake,goal_tampa,goalies_tampa
22,river,rivers,tributary,confluence,creek
23,commission,committee,commissioners,concluded,board
24,ad,ads,advertisement,advertising,advertisements
25,package,packages,plan,proposal,proposals
26,contents,reveal,contained,containing,explaining
27,seen,seeing,even,saw,though
28,players,player,playing,play,played
29,engine,engines,powered,diesel,cylinder
30,port,ports,harbour,coast,dock
31,album,albums,song,compilation,ep
32,regional,local,region,southeast,namely
33,stop,stopping,stopped,stops,instead
34,supplies,supply,supplying,food,supplied
35,started,began,start,begun,starting
36,administration,government,officials,policy,office
37,bar,bars,restaurant,patrons,cafe
38,institute,research,study,studies,sciences
39,views,view,opinions,viewpoint,viewpoints
40,plans,plan,planned,proposed,planning
41,double,triple,doubled,single,pair
42,dog,dogs,cat,pet,puppy
43,build,construct,develop,create,built
44,screen,screens,picture,feature,touch
45,exchange,trading,exchanges,stock,close
46,types,kinds,certain,typically,variety
47,soon,finally,eventually,quickly,immediately
48,sponsored,sponsoring,sponsor,conjunction,sponsors
49,lines,line,along,instead,connecting
50,electronic,devices,computer,computerized,online
51,continue,continuing,continued,continues,should
52,across,along,through,throughout,around
53,benefits,benefit,compensation,retirees,expense
54,needed,need,necessary,enough,needs
55,season,seasons,starting,playoffs,year
56,apply,applying,applied,applies,allow
57,someone,somebody,else,anyone,anybody
58,held,hold,holding,place,where
59,ny,25a,31f,9n,tihs
60,anything,nothing,something,else,anyone
61,printer,printers,inkjet,copier,photocopier
62,condition,unclear,neither,anonymity,treated
63,effective,means,less,rather,useful
64,believe,say,indeed,thought,certainly
65,organization,organisation,organizations,organized,nonprofit
66,effect,effects,result,impact,change
67,asked,asking,ask,wanted,did
68,eur,c1-fra,c1-spa,c1-ita,c1-ger
69,mind,thinking,something,kind,thought
70,sunday,saturday,friday,monday,thursday
